obstacle_count,simulation_number,start_position,result,termination_reason,trajectory_length
0,1,1,target reached,goal_reached,65
0,1,2,target reached,goal_reached,65
0,1,3,target reached,goal_reached,65
0,1,4,target reached,goal_reached,65
0,1,5,target reached,goal_reached,66
0,1,6,target reached,goal_reached,66
0,1,7,target reached,goal_reached,66
0,1,8,target reached,goal_reached,67
0,1,9,target reached,goal_reached,66
0,1,10,target reached,goal_reached,65
0,1,11,target reached,goal_reached,66
0,1,12,target reached,goal_reached,65
3,1,1,target reached,goal_reached,66
3,1,2,target reached,goal_reached,65
3,1,3,target reached,goal_reached,65
3,1,4,target reached,goal_reached,65
3,1,5,target not reached,collision,38
3,1,6,target reached,goal_reached,68
3,1,7,target reached,goal_reached,65
3,1,8,target reached,goal_reached,67
3,1,9,target reached,goal_reached,66
3,1,10,target reached,goal_reached,65
3,1,11,target reached,goal_reached,66
3,1,12,target reached,goal_reached,67
3,2,1,target reached,goal_reached,65
3,2,2,target reached,goal_reached,66
3,2,3,target reached,goal_reached,65
3,2,4,target reached,goal_reached,65
3,2,5,target reached,goal_reached,65
3,2,6,target reached,goal_reached,66
3,2,7,target reached,goal_reached,66
3,2,8,target reached,goal_reached,68
3,2,9,target reached,goal_reached,66
3,2,10,target reached,goal_reached,65
3,2,11,target reached,goal_reached,66
3,2,12,target reached,goal_reached,65
3,3,1,target reached,goal_reached,65
3,3,2,target reached,goal_reached,66
3,3,3,target reached,goal_reached,67
3,3,4,target reached,goal_reached,65
3,3,5,target reached,goal_reached,66
3,3,6,target reached,goal_reached,66
3,3,7,target reached,goal_reached,66
3,3,8,target reached,goal_reached,67
3,3,9,target reached,goal_reached,66
3,3,10,target reached,goal_reached,65
3,3,11,target reached,goal_reached,66
3,3,12,target reached,goal_reached,65
3,4,1,target reached,goal_reached,65
3,4,2,target reached,goal_reached,65
3,4,3,target reached,goal_reached,67
3,4,4,target reached,goal_reached,65
3,4,5,target reached,goal_reached,66
3,4,6,target reached,goal_reached,66
3,4,7,target not reached,collision,17
3,4,8,target reached,goal_reached,67
3,4,9,target reached,goal_reached,65
3,4,10,target reached,goal_reached,65
3,4,11,target reached,goal_reached,66
3,4,12,target reached,goal_reached,65
3,5,1,target reached,goal_reached,65
3,5,2,target reached,goal_reached,66
3,5,3,target reached,goal_reached,65
3,5,4,target reached,goal_reached,65
3,5,5,target reached,goal_reached,66
3,5,6,target reached,goal_reached,66
3,5,7,target reached,goal_reached,66
3,5,8,target reached,goal_reached,68
3,5,9,target reached,goal_reached,71
3,5,10,target reached,goal_reached,65
3,5,11,target reached,goal_reached,67
3,5,12,target reached,goal_reached,65
3,6,1,target reached,goal_reached,66
3,6,2,target reached,goal_reached,65
3,6,3,target reached,goal_reached,65
3,6,4,target reached,goal_reached,65
3,6,5,target reached,goal_reached,67
3,6,6,target reached,goal_reached,65
3,6,7,target reached,goal_reached,66
3,6,8,target reached,goal_reached,67
3,6,9,target reached,goal_reached,66
3,6,10,target reached,goal_reached,65
3,6,11,target reached,goal_reached,66
3,6,12,target reached,goal_reached,65
3,7,1,target reached,goal_reached,65
3,7,2,target reached,goal_reached,65
3,7,3,target reached,goal_reached,65
3,7,4,target reached,goal_reached,65
3,7,5,target reached,goal_reached,65
3,7,6,target reached,goal_reached,66
3,7,7,target reached,goal_reached,66
3,7,8,target reached,goal_reached,67
3,7,9,target reached,goal_reached,66
3,7,10,target reached,goal_reached,65
3,7,11,target reached,goal_reached,66
3,7,12,target reached,goal_reached,66
3,8,1,target reached,goal_reached,66
3,8,2,target reached,goal_reached,65
3,8,3,target reached,goal_reached,65
3,8,4,target reached,goal_reached,65
3,8,5,target reached,goal_reached,67
3,8,6,target reached,goal_reached,66
3,8,7,target reached,goal_reached,65
3,8,8,target reached,goal_reached,66
3,8,9,target reached,goal_reached,66
3,8,10,target reached,goal_reached,65
3,8,11,target reached,goal_reached,72
3,8,12,target reached,goal_reached,66
3,9,1,target reached,goal_reached,65
3,9,2,target reached,goal_reached,65
3,9,3,target reached,goal_reached,65
3,9,4,target reached,goal_reached,66
3,9,5,target reached,goal_reached,66
3,9,6,target reached,goal_reached,67
3,9,7,target reached,goal_reached,69
3,9,8,target reached,goal_reached,67
3,9,9,target reached,goal_reached,66
3,9,10,target reached,goal_reached,65
3,9,11,target reached,goal_reached,66
3,9,12,target reached,goal_reached,65
3,10,1,target reached,goal_reached,65
3,10,2,target reached,goal_reached,65
3,10,3,target reached,goal_reached,65
3,10,4,target reached,goal_reached,65
3,10,5,target reached,goal_reached,66
3,10,6,target reached,goal_reached,66
3,10,7,target reached,goal_reached,68
